id,label,exact_synonym,related_synonym,db_xref,definition,alternative_id,in_subset,obo_namespace,skos_exact_match,skos_narrow_match,comment,creation_date,child
DOID:7188,autoimmune thyroiditis,Hashimoto's thyroiditis,,ICD10CM:E06.3 | MESH:D013967 | NCI:C38766 | SNOMEDCT_US_2025_09_01:190297000 | UMLS_CUI:C0920350,An autoimmune disease of endocrine system that involves inflammation located_in thyroid gland caused by the immune system reacting against its own tissues.,DOID:0050435,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_7188
DOID:7188,autoimmune thyroiditis,Lymphocytic Thyroiditis,,ICD10CM:E06.3 | MESH:D013967 | NCI:C38766 | SNOMEDCT_US_2025_09_01:190297000 | UMLS_CUI:C0920350,An autoimmune disease of endocrine system that involves inflammation located_in thyroid gland caused by the immune system reacting against its own tissues.,DOID:0050435,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_7188
DOID:8506,bullous pemphigoid,,,GARD:5972 | ICD10CM:L12.0 | ICD9CM:694.5 | MESH:D010391 | NCI:C84389 | SNOMEDCT_US_2025_09_01:77090002 | UMLS_CUI:C0030805,A pemphigoid that is characterized by large blisters.,,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_8506
DOID:8857,lupus erythematosus,lupus,,ICD10CM:L93 | ICD9CM:695.4 | NCI:C27153 | SNOMEDCT_US_2025_09_01:200936003 | UMLS_CUI:C0409974,"An autoimmune disease that is characterized by a constellation of findings that include elevated antibodies to nuclear antigens, antiphospholipids, low complement levels, ulcers, non-scarring alopecia, renal or neurologic damage, and low white blood cell and platelet counts, has_symptom rashes, fatigue, arthritis, hair loss, seizures, and symptoms related to affected organs.",,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_8857
DOID:8869,neuromyelitis optica,Devic's disease,,EFO:0004256 | GARD:6267 | ICD10CM:G36.0 | ICD9CM:341.0 | MESH:D009471 | NCI:C84934 | SNOMEDCT_US_2025_09_01:25044007 | UMLS_CUI:C0027873,A central nervous system disease characterized by inflammation of the optic nerve (optic neuritis) and inflammation of the spinal cord (myelitis).,,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_8869
DOID:8869,neuromyelitis optica,Devic's syndrome,,EFO:0004256 | GARD:6267 | ICD10CM:G36.0 | ICD9CM:341.0 | MESH:D009471 | NCI:C84934 | SNOMEDCT_US_2025_09_01:25044007 | UMLS_CUI:C0027873,A central nervous system disease characterized by inflammation of the optic nerve (optic neuritis) and inflammation of the spinal cord (myelitis).,,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_8869
DOID:8924,autoimmune thrombocytopenic purpura,Immune thrombocytopenic purpura,Ideopath thrombocytopenic pur | Idiopathic purpura | werlhof's disease,ICD10CM:D69.3 | ICD9CM:287.31 | MESH:D016553 | MIM:188030 | NCI:C3446 | SNOMEDCT_US_2025_09_01:234490009 | UMLS_CUI:C0398650,A primary thrombocytopenia that involves relatively few platelets in blood as a result of autoantibodies.,DOID:0050124 | DOID:2220,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_8924
DOID:8924,autoimmune thrombocytopenic purpura,idiopathic thrombocytopenic purpura,Ideopath thrombocytopenic pur | Idiopathic purpura | werlhof's disease,ICD10CM:D69.3 | ICD9CM:287.31 | MESH:D016553 | MIM:188030 | NCI:C3446 | SNOMEDCT_US_2025_09_01:234490009 | UMLS_CUI:C0398650,A primary thrombocytopenia that involves relatively few platelets in blood as a result of autoantibodies.,DOID:0050124 | DOID:2220,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_8924
DOID:8924,autoimmune thrombocytopenic purpura,primary thrombocytopenic purpura,Ideopath thrombocytopenic pur | Idiopathic purpura | werlhof's disease,ICD10CM:D69.3 | ICD9CM:287.31 | MESH:D016553 | MIM:188030 | NCI:C3446 | SNOMEDCT_US_2025_09_01:234490009 | UMLS_CUI:C0398650,A primary thrombocytopenia that involves relatively few platelets in blood as a result of autoantibodies.,DOID:0050124 | DOID:2220,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_8924
DOID:8925,primary thrombocytopenia,,,ICD10CM:D69.4 | ICD9CM:287.39 | NCI:C195002 | SNOMEDCT_US_2025_09_01:191435001 | UMLS_CUI:C0477317,,DOID:8945,,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_8925
