disease,dbxref
http://purl.obolibrary.org/obo/UBERON_0001587,UMLS:C0038532
http://purl.obolibrary.org/obo/UBERON_0001587,AAO:0010510
http://purl.obolibrary.org/obo/UBERON_0001587,MA:0002221
http://purl.obolibrary.org/obo/UBERON_0001587,EHDAA2:0001934
http://purl.obolibrary.org/obo/UBERON_0001587,GAID:546
http://purl.obolibrary.org/obo/UBERON_0001587,EMAPA:17621
http://purl.obolibrary.org/obo/UBERON_0001587,NCIT:C12794
http://purl.obolibrary.org/obo/UBERON_0001587,Wikipedia:Subclavian_vein
http://purl.obolibrary.org/obo/UBERON_0001587,galen:SubclavianVein
http://purl.obolibrary.org/obo/UBERON_0001587,SCTID:181388005
http://purl.obolibrary.org/obo/UBERON_0001587,MESH:D013350
http://purl.obolibrary.org/obo/UBERON_6000020,FBbt:00000020
http://purl.obolibrary.org/obo/GO_0009062,Wikipedia:Fatty_acid_degradation
http://purl.obolibrary.org/obo/GO_0009062,Reactome:R-HSA-390918
http://purl.obolibrary.org/obo/UBERON_2000735,ZFA:0000735
http://purl.obolibrary.org/obo/UBERON_0009202,KUPO:0001002
http://purl.obolibrary.org/obo/UBERON_6007248,FBbt:00007248
http://purl.obolibrary.org/obo/UBERON_0008464,SCTID:181723001
http://purl.obolibrary.org/obo/UBERON_0008464,Wikipedia:Abductor_hallucis_muscle
http://purl.obolibrary.org/obo/UBERON_0008464,FMA:37448
http://purl.obolibrary.org/obo/UBERON_0004044,BTO:0003361
http://purl.obolibrary.org/obo/UBERON_0004044,EMAPA:36068
http://purl.obolibrary.org/obo/UBERON_0000984,TGMA:0000196
http://purl.obolibrary.org/obo/UBERON_0000984,FBbt:00004729
http://purl.obolibrary.org/obo/UBERON_0000984,HAO:0001089
http://purl.obolibrary.org/obo/UBERON_0004701,UMLS:C1710626
http://purl.obolibrary.org/obo/UBERON_0004701,NCIT:C49320
http://purl.obolibrary.org/obo/UBERON_0004701,MA:0000714
http://purl.obolibrary.org/obo/UBERON_0004701,EMAPA:35907
http://purl.obolibrary.org/obo/UBERON_0015139,FMA:76652
http://purl.obolibrary.org/obo/UBERON_2001095,ZFA:0001095
http://purl.obolibrary.org/obo/CL_0000313,FMA:62511
http://purl.obolibrary.org/obo/CL_0000313,BTO:0003687
http://purl.obolibrary.org/obo/UBERON_0006682,EMAPA:19012
http://purl.obolibrary.org/obo/UBERON_0006682,Wikipedia:Hypoglossal_canal
http://purl.obolibrary.org/obo/UBERON_0006682,SCTID:139380001
http://purl.obolibrary.org/obo/UBERON_0006682,FMA:75370
http://purl.obolibrary.org/obo/UBERON_0016452,FMA:55716
http://purl.obolibrary.org/obo/NCBITaxon_10205,GC_ID:1
http://purl.obolibrary.org/obo/UBERON_0011345,FMA:55077
http://purl.obolibrary.org/obo/UBERON_0011345,Wikipedia:Pharyngeal_raphe
http://purl.obolibrary.org/obo/UBERON_0011345,SCTID:179763009
http://purl.obolibrary.org/obo/UBERON_0005485,SCTID:277722006
http://purl.obolibrary.org/obo/UBERON_0005485,NCIT:C32544
http://purl.obolibrary.org/obo/UBERON_0005485,EHDAA2:0002166
http://purl.obolibrary.org/obo/UBERON_0005485,UMLS:C0225848
http://purl.obolibrary.org/obo/UBERON_0005485,FMA:9240
http://purl.obolibrary.org/obo/UBERON_0005485,EHDAA:8631
http://purl.obolibrary.org/obo/UBERON_0005485,Wikipedia:Valve_of_inferior_vena_cava
http://purl.obolibrary.org/obo/UBERON_0004231,MA:0001532
http://purl.obolibrary.org/obo/UBERON_0004231,EMAPA:37394
http://purl.obolibrary.org/obo/UBERON_6001744,FBbt:00001744
http://purl.obolibrary.org/obo/UBERON_0008861,SCTID:70710007
http://purl.obolibrary.org/obo/UBERON_0008861,NCIT:C33431
http://purl.obolibrary.org/obo/UBERON_0008861,Wikipedia:Pyloric_gland
http://purl.obolibrary.org/obo/UBERON_0008861,UMLS:C0227239
http://purl.obolibrary.org/obo/UBERON_0008861,EMAPA:27211
http://purl.obolibrary.org/obo/UBERON_0008861,FMA:14922
http://purl.obolibrary.org/obo/UBERON_2000558,ZFA:0000558
http://purl.obolibrary.org/obo/UBERON_0007756,EMAPA:26460
http://purl.obolibrary.org/obo/UBERON_0007756,SCTID:361870000
http://purl.obolibrary.org/obo/UBERON_0007756,FMA:35234
http://purl.obolibrary.org/obo/UBERON_0001062,MA:0000001
http://purl.obolibrary.org/obo/UBERON_0001062,TAO:0100000
http://purl.obolibrary.org/obo/UBERON_0001062,AAO:0010841
http://purl.obolibrary.org/obo/UBERON_0001062,HAO:0000000
http://purl.obolibrary.org/obo/UBERON_0001062,ZFA:0100000
http://purl.obolibrary.org/obo/UBERON_0001062,FMA:62955
http://purl.obolibrary.org/obo/UBERON_0001062,WBbt:0000100
http://purl.obolibrary.org/obo/UBERON_0001062,UMLS:C1515976
http://purl.obolibrary.org/obo/UBERON_0001062,FBbt:10000000
http://purl.obolibrary.org/obo/UBERON_0001062,TGMA:0001822
http://purl.obolibrary.org/obo/UBERON_0001062,BFO:0000004
http://purl.obolibrary.org/obo/UBERON_0001062,BILA:0000000
http://purl.obolibrary.org/obo/UBERON_0001062,AEO:0000000
http://purl.obolibrary.org/obo/UBERON_0001062,NCIT:C12219
http://purl.obolibrary.org/obo/UBERON_0001062,XAO:0000000
http://purl.obolibrary.org/obo/UBERON_0001062,EHDAA2:0002229
http://purl.obolibrary.org/obo/UBERON_0001062,CARO:0000000
http://purl.obolibrary.org/obo/UBERON_0001062,BIRNLEX:6
http://purl.obolibrary.org/obo/UBERON_0013693,CALOHA:TS-2396
http://purl.obolibrary.org/obo/UBERON_0005672,EHDAA2:0001755
http://purl.obolibrary.org/obo/UBERON_2000673,ZFA:0000673
http://purl.obolibrary.org/obo/UBERON_0004871,XAO:0000271
http://purl.obolibrary.org/obo/UBERON_0004871,BILA:0000047
http://purl.obolibrary.org/obo/UBERON_0004871,Wikipedia:Lateral_plate_mesoderm#Division_into_layers
http://purl.obolibrary.org/obo/UBERON_0004871,AAO:0011100
http://purl.obolibrary.org/obo/UBERON_0004871,FMA:295570
http://purl.obolibrary.org/obo/UBERON_0035762,FMA:280922
http://purl.obolibrary.org/obo/UBERON_0015872,FMA:61227
http://purl.obolibrary.org/obo/UBERON_0015872,MA:0003067
http://purl.obolibrary.org/obo/UBERON_0015872,SCTID:10664000
http://purl.obolibrary.org/obo/UBERON_0015872,Wikipedia:Mandibular_lymph_node
http://purl.obolibrary.org/obo/CL_1001287,KUPO:0001073
http://purl.obolibrary.org/obo/UBERON_0011774,FMA:61243
http://purl.obolibrary.org/obo/UBERON_0011774,NCIT:C33845
http://purl.obolibrary.org/obo/UBERON_0011774,EMAPA:37980
http://purl.obolibrary.org/obo/UBERON_0011774,SCTID:279811007
http://purl.obolibrary.org/obo/UBERON_2000289,ZFA:0001594
http://purl.obolibrary.org/obo/UBERON_0002301,MA:0000186
http://purl.obolibrary.org/obo/UBERON_0002301,EMAPA:35588
http://purl.obolibrary.org/obo/UBERON_0002301,FMA:83138
http://purl.obolibrary.org/obo/UBERON_0002301,ABA:CTX1-6b
http://purl.obolibrary.org/obo/UBERON_0008243,EMAPA:37261
http://purl.obolibrary.org/obo/UBERON_0008243,MA:0000508
http://purl.obolibrary.org/obo/UBERON_0008243,SCTID:305071003
http://purl.obolibrary.org/obo/GO_0030168,Reactome:R-HSA-392023
http://purl.obolibrary.org/obo/GO_0030168,Reactome:R-HSA-418592
http://purl.obolibrary.org/obo/GO_0030168,Reactome:R-HSA-392170
http://purl.obolibrary.org/obo/GO_0030168,Reactome:R-HSA-76002
http://purl.obolibrary.org/obo/UBERON_0003085,BTO:0004674
http://purl.obolibrary.org/obo/UBERON_0003085,ZFA:0000604
http://purl.obolibrary.org/obo/UBERON_0003085,TAO:0000604
http://purl.obolibrary.org/obo/UBERON_0003085,XAO:0000338
http://purl.obolibrary.org/obo/UBERON_0003085,AAO:0010412
http://purl.obolibrary.org/obo/UBERON_0003085,VHOG:0000121
http://purl.obolibrary.org/obo/UBERON_0009645,EMAPA:35123
http://purl.obolibrary.org/obo/UBERON_0009645,NCIT:C77955
http://purl.obolibrary.org/obo/UBERON_0009645,UMLS:C2698103
http://purl.obolibrary.org/obo/UBERON_0009645,MA:0000400
http://purl.obolibrary.org/obo/UBERON_0006461,FMA:256627
http://purl.obolibrary.org/obo/UBERON_0006461,BIRNLEX:1539
http://purl.obolibrary.org/obo/UBERON_0006461,SCTID:278781000
http://purl.obolibrary.org/obo/UBERON_0006461,UMLS:C0457877
http://purl.obolibrary.org/obo/UBERON_0006114,FMA:61902
http://purl.obolibrary.org/obo/UBERON_0006114,SCTID:369218006
http://purl.obolibrary.org/obo/UBERON_0006114,BIRNLEX:735
http://purl.obolibrary.org/obo/UBERON_0006114,UMLS:C0228228
http://purl.obolibrary.org/obo/UBERON_0006114,neuronames:155
http://purl.obolibrary.org/obo/UBERON_0006114,BAMS:LOG
http://purl.obolibrary.org/obo/UBERON_0016641,MBA:406
http://purl.obolibrary.org/obo/UBERON_0016641,DHBA:13054
http://purl.obolibrary.org/obo/UBERON_0016641,neuronames:2253
http://purl.obolibrary.org/obo/UBERON_0016641,FMA:226239
http://purl.obolibrary.org/obo/UBERON_0011208,EMAPA:16597
http://purl.obolibrary.org/obo/UBERON_0011208,TAO:0000786
http://purl.obolibrary.org/obo/UBERON_0011208,EHDAA2:0001075
http://purl.obolibrary.org/obo/UBERON_0011208,ZFA:0000786
http://purl.obolibrary.org/obo/UBERON_0011208,EHDAA:1747
http://purl.obolibrary.org/obo/UBERON_0005674,RETIRED_EHDAA2:0001750
http://purl.obolibrary.org/obo/UBERON_0005674,EHDAA:4991
http://purl.obolibrary.org/obo/NCBITaxon_32519,GC_ID:1
http://purl.obolibrary.org/obo/UBERON_0001960,EMAPA:37750
http://purl.obolibrary.org/obo/UBERON_0001960,FMA:62810
http://purl.obolibrary.org/obo/UBERON_0001960,MA:0000765
http://purl.obolibrary.org/obo/UBERON_0002052,NCIT:C32050
http://purl.obolibrary.org/obo/UBERON_0002052,MA:0000117
http://purl.obolibrary.org/obo/UBERON_0002052,UMLS:C1181304
http://purl.obolibrary.org/obo/UBERON_0002052,FMA:69087
http://purl.obolibrary.org/obo/UBERON_0013125,EHDAA2:0001932
http://purl.obolibrary.org/obo/UBERON_0013125,SCTID:361451002
http://purl.obolibrary.org/obo/UBERON_8600082,FMA:44319
http://purl.obolibrary.org/obo/UBERON_2007035,ZFA:0007035
http://purl.obolibrary.org/obo/UBERON_0001816,EMAPA:18224
http://purl.obolibrary.org/obo/UBERON_0001816,MA:0000221
http://purl.obolibrary.org/obo/UBERON_0001816,SCTID:362482000
http://purl.obolibrary.org/obo/UBERON_0001816,FMA:5910
http://purl.obolibrary.org/obo/UBERON_0003493,MA:0001856
http://purl.obolibrary.org/obo/UBERON_0003493,EMAPA:37554
http://purl.obolibrary.org/obo/UBERON_0019254,FMA:59408
http://purl.obolibrary.org/obo/UBERON_0002692,UMLS:C0175514
http://purl.obolibrary.org/obo/UBERON_0002692,neuronames:738
http://purl.obolibrary.org/obo/UBERON_0002692,HBA:9642
http://purl.obolibrary.org/obo/UBERON_0002692,BIRNLEX:1420
http://purl.obolibrary.org/obo/UBERON_0002692,FMA:68874
http://purl.obolibrary.org/obo/UBERON_0002692,BAMS:RaM
http://purl.obolibrary.org/obo/UBERON_0002692,SCTID:362420006
http://purl.obolibrary.org/obo/UBERON_0004545,FMA:61959
http://purl.obolibrary.org/obo/UBERON_0004545,BAMS:ec
http://purl.obolibrary.org/obo/UBERON_0004545,DMBA:17765
http://purl.obolibrary.org/obo/UBERON_0004545,neuronames:253
http://purl.obolibrary.org/obo/UBERON_0004545,MA:0002896
http://purl.obolibrary.org/obo/UBERON_0004545,HBA:9243
http://purl.obolibrary.org/obo/UBERON_0004545,Wikipedia:External_capsule
http://purl.obolibrary.org/obo/UBERON_0004545,UMLS:C0152345
http://purl.obolibrary.org/obo/UBERON_0004545,DHBA:10573
http://purl.obolibrary.org/obo/UBERON_0004545,BAMS:EC
http://purl.obolibrary.org/obo/UBERON_0004545,EMAPA:35331
http://purl.obolibrary.org/obo/UBERON_0004545,NCIT:C32550
http://purl.obolibrary.org/obo/UBERON_0004545,MBA:579
http://purl.obolibrary.org/obo/UBERON_0004545,SCTID:279300007
http://purl.obolibrary.org/obo/UBERON_0004545,NLXANAT:1010013
http://purl.obolibrary.org/obo/UBERON_0000125,NCIT:C13197
http://purl.obolibrary.org/obo/UBERON_0000125,FMA:83686
http://purl.obolibrary.org/obo/UBERON_0000125,AEO:0000136
http://purl.obolibrary.org/obo/UBERON_0000125,NLX:28443
http://purl.obolibrary.org/obo/UBERON_0000125,Wikipedia:Nucleus_(neuroanatomy)
http://purl.obolibrary.org/obo/UBERON_2000937,ZFA:0000937
http://purl.obolibrary.org/obo/UBERON_4200020,PHENOSCAPE:ad
http://purl.obolibrary.org/obo/UBERON_0018687,Wikipedia:Glia_limitans
http://purl.obolibrary.org/obo/UBERON_0018687,NIF_Subcellular:nlx_subcell_100209
http://purl.obolibrary.org/obo/CL_0002078,ZFA:0009388
http://purl.obolibrary.org/obo/CL_0002078,FMA:69076
http://purl.obolibrary.org/obo/UBERON_0013730,ENVO:01000166
http://purl.obolibrary.org/obo/UBERON_0007193,Wikipedia:Orbital_gyri
http://purl.obolibrary.org/obo/UBERON_0007193,FMA:256194
http://purl.obolibrary.org/obo/UBERON_0007193,neuronames:91
http://purl.obolibrary.org/obo/UBERON_0007193,BAMS:OrG
http://purl.obolibrary.org/obo/UBERON_0007193,SCTID:280372002
http://purl.obolibrary.org/obo/UBERON_0004075,NLXANAT:20081225
http://purl.obolibrary.org/obo/UBERON_0004075,FMA:278635
http://purl.obolibrary.org/obo/UBERON_0004075,MA:0000999
http://purl.obolibrary.org/obo/UBERON_0004075,EMAPA:35226
http://purl.obolibrary.org/obo/UBERON_0004075,MBA:976
http://purl.obolibrary.org/obo/UBERON_0004075,neuronames:1054
http://purl.obolibrary.org/obo/UBERON_0002763,neuronames:236
http://purl.obolibrary.org/obo/UBERON_0002763,BAMS:icml
http://purl.obolibrary.org/obo/UBERON_0002763,UMLS:C0175213
http://purl.obolibrary.org/obo/UBERON_0002763,FMA:62471
http://purl.obolibrary.org/obo/UBERON_0002763,BIRNLEX:1626
http://purl.obolibrary.org/obo/UBERON_0002763,BAMS:aml
http://purl.obolibrary.org/obo/UBERON_0000483,BILA:0000066
http://purl.obolibrary.org/obo/UBERON_0000483,FMA:9639
http://purl.obolibrary.org/obo/UBERON_0000483,EMAPA:32738
http://purl.obolibrary.org/obo/UBERON_0000483,BTO:0000416
http://purl.obolibrary.org/obo/UBERON_0000483,UMLS:C0014609
http://purl.obolibrary.org/obo/UBERON_0000483,HAO:0000066
http://purl.obolibrary.org/obo/UBERON_0000483,XAO:0003045
http://purl.obolibrary.org/obo/UBERON_0000483,CALOHA:TS-0288
http://purl.obolibrary.org/obo/UBERON_0000483,Wikipedia:Epithelium
http://purl.obolibrary.org/obo/UBERON_0000483,SCTID:31610004
http://purl.obolibrary.org/obo/UBERON_0000483,TAO:0001486
http://purl.obolibrary.org/obo/UBERON_0000483,FBbt:00007005
http://purl.obolibrary.org/obo/UBERON_0000483,VHOG:0000387
http://purl.obolibrary.org/obo/UBERON_0000483,MESH:D004848
http://purl.obolibrary.org/obo/UBERON_0000483,CARO:0000066
http://purl.obolibrary.org/obo/UBERON_0000483,NCIT:C12710
http://purl.obolibrary.org/obo/UBERON_0000483,GAID:402
http://purl.obolibrary.org/obo/UBERON_0000483,AEO:0000066
http://purl.obolibrary.org/obo/UBERON_0000483,AAO:0000144
http://purl.obolibrary.org/obo/UBERON_0000483,EHDAA2:0003066
http://purl.obolibrary.org/obo/UBERON_0000483,ZFA:0001486
http://purl.obolibrary.org/obo/UBERON_0000483,AAO:0010055
http://purl.obolibrary.org/obo/UBERON_0000483,MA:0003060
http://purl.obolibrary.org/obo/UBERON_0022235,FMA:62444
http://purl.obolibrary.org/obo/UBERON_0000312,FMA:234358
http://purl.obolibrary.org/obo/UBERON_2000068,ZFA:0000068
http://purl.obolibrary.org/obo/UBERON_0001615,NCIT:C53025
http://purl.obolibrary.org/obo/UBERON_0001615,MA:0002068
http://purl.obolibrary.org/obo/UBERON_0001615,FMA:49657
http://purl.obolibrary.org/obo/UBERON_0001615,UMLS:C0226132
http://purl.obolibrary.org/obo/UBERON_0001615,EMAPA:37130
http://purl.obolibrary.org/obo/UBERON_0001615,SCTID:146551008
http://purl.obolibrary.org/obo/UBERON_0001615,Wikipedia:Transverse_facial_artery
http://purl.obolibrary.org/obo/UBERON_2001297,ZFA:0001297
http://purl.obolibrary.org/obo/UBERON_0011376,UMLS:C1708463
http://purl.obolibrary.org/obo/UBERON_0011376,EMAPA:37605
