Disease,Disease_mondo_reference,Disease_uberon_reference,Disease_cl_reference,Disease_doid_reference
Tumefactive multiple sclerosis,prefix='mondo' identifier='0016430' name='Balo concentric sclerosis',,,prefix='doid' identifier='0060215' name='Balo concentric sclerosis'
Behçet's syndrome,prefix='mondo' identifier='0007191' name='Behcet disease',,,"prefix='doid' identifier='13241' name=""Behcet's disease"""
Behcet's syndrome,prefix='mondo' identifier='0007191' name='Behcet disease',,,"prefix='doid' identifier='13241' name=""Behcet's disease"""
Behçet's disease,prefix='mondo' identifier='0007191' name='Behcet disease',,,"prefix='doid' identifier='13241' name=""Behcet's disease"""
Morbus Adamandiades-Behçet,,,,
Hughes Stovin syndrome,,,,
Hughes-Stovin syndrome,prefix='mondo' identifier='0016425' name='Hughes-Stovin syndrome',,,
Benign mucous membrane pemphigoid,prefix='mondo' identifier='0018746' name='mucous membrane pemphigoid',,,prefix='doid' identifier='11656' name='cicatricial pemphigoid'
Cicatricial pemphigoid,prefix='mondo' identifier='0018746' name='mucous membrane pemphigoid',,,prefix='doid' identifier='11656' name='cicatricial pemphigoid'
Mucous membrane pemphigoid,prefix='mondo' identifier='0018746' name='mucous membrane pemphigoid',,,
Ocular pemphigoid,prefix='mondo' identifier='0008109' name='ocular cicatricial pemphigoid',,,prefix='doid' identifier='11656' name='cicatricial pemphigoid'
Scarring pemphigoid,,,,
Ocular cicatricial pemphigoid,prefix='mondo' identifier='0008109' name='ocular cicatricial pemphigoid',,,
Bullous pemphigoid,prefix='mondo' identifier='0019082' name='bullous pemphigoid',,,prefix='doid' identifier='8506' name='bullous pemphigoid'
Cataplexy and narcolepsy,,,,
Narcolepsy type 1,prefix='mondo' identifier='0016158' name='narcolepsy-cataplexy syndrome',,,
Adult form of celiac disease,,,,
Celiac disease,prefix='mondo' identifier='0005130' name='celiac disease',,,prefix='doid' identifier='10608' name='celiac disease'
Celiac sprue,prefix='mondo' identifier='0005130' name='celiac disease',,,prefix='doid' identifier='10608' name='celiac disease'
Coeliac disease,,,,prefix='doid' identifier='10608' name='celiac disease'
Gluten-induced enteropathy,prefix='mondo' identifier='0005130' name='celiac disease',,,
Gluten-sensitive enteropathy,,,,
Nontropical sprue,,,,
