Parent,Parent_mondo_reference,Parent_uberon_reference,Parent_cl_reference,Parent_doid_reference
Guillain-Barré syndrome,prefix='mondo' identifier='0016218' name='Guillain-Barre syndrome',,,prefix='doid' identifier='12842' name='Guillain-Barre syndrome'
Herpes gestationis,prefix='mondo' identifier='0006558' name='pemphigoid gestationis',,,prefix='doid' identifier='14482' name='pemphigoid gestationis'
Hidradenitis suppurativa,prefix='mondo' identifier='0006559' name='hidradenitis suppurativa',,,prefix='doid' identifier='2280' name='hidradenitis suppurativa'
Hypersensitivity angiitis,prefix='mondo' identifier='0019509' name='cutaneous leukocytoclastic angiitis',,,
Idiopathic pulmonary fibrosis,prefix='mondo' identifier='0800504' name='idiopathic pulmonary fibrosis',,,prefix='doid' identifier='0050156' name='idiopathic pulmonary fibrosis'
IgA nephropathy,prefix='mondo' identifier='0005342' name='IgA glomerulonephritis',,,prefix='doid' identifier='2986' name='IgA glomerulonephritis'
Immune thrombocytopenia,prefix='mondo' identifier='0002048' name='thrombocytopenia due to immune destruction',,,prefix='doid' identifier='1587' name='thrombocytopenia due to platelet alloimmunization'
Immunoglobulin A vasculitis,prefix='mondo' identifier='0019167' name='immunoglobulin A vasculitis',,,prefix='doid' identifier='11123' name='IgA vasculitis'
Immunoglobulin G4 related disease,,,,
Inclusion Body Myositis,prefix='mondo' identifier='0007827' name='inclusion body myositis',,,prefix='doid' identifier='3429' name='inclusion body myositis'
Inclusion body myositis,prefix='mondo' identifier='0007827' name='inclusion body myositis',,,prefix='doid' identifier='3429' name='inclusion body myositis'
Inflammatory Bowel Disease,prefix='mondo' identifier='0005265' name='inflammatory bowel disease',,,prefix='doid' identifier='0050589' name='inflammatory bowel disease'
Intermediate uveitis,prefix='mondo' identifier='0006806' name='intermediate uveitis',,,prefix='doid' identifier='12732' name='intermediate uveitis'
Interstitial lung disease,prefix='mondo' identifier='0015925' name='interstitial lung disease',,,prefix='doid' identifier='3082' name='interstitial lung disease'
Juvenile Rheumatoid Arthritis,prefix='mondo' identifier='0005185' name='chronic childhood arthritis',,,prefix='doid' identifier='676' name='systemic juvenile rheumatoid arthritis'
Lichen planus,prefix='mondo' identifier='0006572' name='lichen planus',,,prefix='doid' identifier='9201' name='lichen planus'
Lichen sclerosus,prefix='mondo' identifier='0007899' name='lichen sclerosus et atrophicus',,,
Ligneous conjunctivitis,prefix='mondo' identifier='0100560' name='ligneous conjunctivitis',,,
Linear IgA dermatosis,prefix='mondo' identifier='0018748' name='linear IgA Dermatosis',,,
Lipomatosis dolorosa,prefix='mondo' identifier='0007070' name='adiposis dolorosa',,,
Lupus vasculitis,,,,
Male infertility associated with antisperm antibodies,,,,
Microscopic colitis,prefix='mondo' identifier='0000702' name='microscopic colitis',,,prefix='doid' identifier='0060182' name='microscopic colitis'
Microscopic polyangiitis,prefix='mondo' identifier='0019124' name='microscopic polyangiitis',,,
Mixed collagen vascular disease,prefix='mondo' identifier='0005854' name='mixed connective tissue disease',,,prefix='doid' identifier='3492' name='mixed connective tissue disease'
Mooren's ulcer,prefix='mondo' identifier='0001032' name='Mooren ulcer',,,"prefix='doid' identifier='10439' name=""Mooren's ulcer"""
Morphea,prefix='mondo' identifier='0019562' name='localized scleroderma',,,prefix='doid' identifier='8472' name='localized scleroderma'
Moyamoya disease,prefix='mondo' identifier='0016820' name='Moyamoya disease',,,prefix='doid' identifier='13099' name='Moyamoya disease'
Multiple Sclerosis,prefix='mondo' identifier='0005301' name='multiple sclerosis',,,prefix='doid' identifier='2377' name='multiple sclerosis'
Multiple sclerosis,prefix='mondo' identifier='0005301' name='multiple sclerosis',,,prefix='doid' identifier='2377' name='multiple sclerosis'
Myasthenia gravis,prefix='mondo' identifier='0009688' name='myasthenia gravis',,,prefix='doid' identifier='437' name='myasthenia gravis'
Myelin oligodendrocyte glycoprotein antibody-associated disease,prefix='mondo' identifier='1040024' name='myelin oligodendrocyte glycoprotein antibody-associated disease',,,
Myocarditis due to autoimmune disease,,,,
Myositis,prefix='mondo' identifier='0008054' name='juvenile dermatomyositis',,,prefix='doid' identifier='633' name='myositis'
Necrotizing vasculitis,prefix='mondo' identifier='0800113' name='necrotizing vasculitis',,,
Neuralgic amyotrophy,prefix='mondo' identifier='0017362' name='neuralgic amyotrophy',,,prefix='doid' identifier='10383' name='amyotrophic neuralgia'
Neuromyelitis optica,prefix='mondo' identifier='0019100' name='neuromyelitis optica',,,prefix='doid' identifier='8869' name='neuromyelitis optica'
Neuromyotonia,prefix='mondo' identifier='0019399' name='Isaac syndrome',,,
Ophthalmoplegia due to Graves' disease,,,,
Opsoclonus-myoclonus syndrome,prefix='mondo' identifier='0015247' name='opsoclonus-myoclonus syndrome',,,
Palindromic rheumatism,prefix='mondo' identifier='0001332' name='palindromic rheumatism',,,prefix='doid' identifier='1166' name='palindromic rheumatism'
Paraneoplastic cerebellar degeneration,prefix='mondo' identifier='0044877' name='paraneoplastic cerebellar degeneration',,,
