term,term_curie,uberon_curie,cl_curie,doid_curie,mondo_reference,uberon_reference,cl_reference,doid_reference
Birdshot chorioretinopathy,mondo:0011599,,,doid:0111079,prefix='mondo' identifier='0011599' name='birdshot chorioretinopathy',,,prefix='doid' identifier='0111079' name='birdshot chorioretinopathy'
Chronic interstitial cystitis,mondo:0018301,,,doid:1678,prefix='mondo' identifier='0018301' name='interstitial cystitis',,,prefix='doid' identifier='1678' name='chronic interstitial cystitis'
Pemphigus,mondo:0006594,,,doid:9182,prefix='mondo' identifier='0006594' name='pemphigus',,,prefix='doid' identifier='9182' name='pemphigus'
Cryptogenic organizing pneumonia,mondo:0015264,,,doid:0050157,prefix='mondo' identifier='0015264' name='cryptogenic organizing pneumonia',,,prefix='doid' identifier='0050157' name='cryptogenic organizing pneumonia'
Bullous pemphigoid,mondo:0019082,,,doid:8506,prefix='mondo' identifier='0019082' name='bullous pemphigoid',,,prefix='doid' identifier='8506' name='bullous pemphigoid'
Cataplexy and narcolepsy,,,,,,,,
Moyamoya disease,mondo:0016820,,,doid:13099,prefix='mondo' identifier='0016820' name='Moyamoya disease',,,prefix='doid' identifier='13099' name='Moyamoya disease'
Linear IgA dermatosis,mondo:0018748,,,,prefix='mondo' identifier='0018748' name='linear IgA Dermatosis',,,
Intermediate uveitis,mondo:0006806,,,doid:12732,prefix='mondo' identifier='0006806' name='intermediate uveitis',,,prefix='doid' identifier='12732' name='intermediate uveitis'
Cutaneous lupus erythematosus,mondo:0005282,,,doid:0050169,prefix='mondo' identifier='0005282' name='cutaneous lupus erythematosus',,,prefix='doid' identifier='0050169' name='cutaneous lupus erythematosus'
Chronic Fatigue Syndrome,mondo:0005404,,,doid:8544,prefix='mondo' identifier='0005404' name='myalgic encephalomeyelitis/chronic fatigue syndrome',,,prefix='doid' identifier='8544' name='chronic fatigue syndrome'
Chronic inflammatory demyelinating polyradiculoneuropathy,mondo:0006702,,,doid:5213,prefix='mondo' identifier='0006702' name='chronic inflammatory demyelinating polyradiculoneuropathy',,,prefix='doid' identifier='5213' name='chronic inflammatory demyelinating polyradiculoneuropathy'
Chronic Lyme disease,,,,,,,,
Chronic multifocal osteomyelitis,mondo:0009813,,,doid:0060645,prefix='mondo' identifier='0009813' name='chronic recurrent multifocal osteomyelitis',,,prefix='doid' identifier='0060645' name='chronic recurrent multifocal osteomyelitis'
Primary sclerosing cholangitis,mondo:0013433,,,doid:0060643,prefix='mondo' identifier='0013433' name='primary sclerosing cholangitis',,,prefix='doid' identifier='0060643' name='primary sclerosing cholangitis'
Chronic post-COVID-19 syndrome,,,,,,,,
Schnitzler syndrome,mondo:0018304,,,doid:4371,prefix='mondo' identifier='0018304' name='Schnitzler syndrome',,,prefix='doid' identifier='4371' name='Schnitzler syndrome'
Polyarteritis nodosa,mondo:0019170,,,doid:9810,prefix='mondo' identifier='0019170' name='polyarteritis nodosa',,,prefix='doid' identifier='9810' name='polyarteritis nodosa'
Cogan's syndrome,mondo:0015453,,,doid:0060216,prefix='mondo' identifier='0015453' name='Cogan syndrome',,,prefix='doid' identifier='0060216' name='Cogan syndrome'
Neuromyotonia,mondo:0019399,,,,prefix='mondo' identifier='0019399' name='Isaac syndrome',,,
Mooren's ulcer,mondo:0001032,,,doid:10439,prefix='mondo' identifier='0001032' name='Mooren ulcer',,,"prefix='doid' identifier='10439' name=""Mooren's ulcer"""
Temporal arteritis,mondo:0008538,,,doid:13375,prefix='mondo' identifier='0008538' name='temporal arteritis',,,prefix='doid' identifier='13375' name='temporal arteritis'
Systemic sclerosis with limited cutaneous involvement,,,,,,,,
Crohn's disease,mondo:0005011,,,doid:8778,prefix='mondo' identifier='0005011' name='Crohn disease',,,"prefix='doid' identifier='8778' name=""Crohn's disease"""
Inflammatory Bowel Disease,mondo:0005265,,,doid:0050589,prefix='mondo' identifier='0005265' name='inflammatory bowel disease',,,prefix='doid' identifier='0050589' name='inflammatory bowel disease'
POEMS syndrome,mondo:0017364,,,doid:14039,prefix='mondo' identifier='0017364' name='POEMS syndrome',,,prefix='doid' identifier='14039' name='POEMS syndrome'
Interstitial lung disease,mondo:0015925,,,doid:3082,prefix='mondo' identifier='0015925' name='interstitial lung disease',,,prefix='doid' identifier='3082' name='interstitial lung disease'
Hypersensitivity angiitis,mondo:0019509,,,,prefix='mondo' identifier='0019509' name='cutaneous leukocytoclastic angiitis',,,
Cutaneous mastocytosis,mondo:0019023,,,doid:3663,prefix='mondo' identifier='0019023' name='cutaneous mastocytosis',,,prefix='doid' identifier='3663' name='cutaneous mastocytosis'
Postmyocardial infarction syndrome,mondo:0001049,,,doid:10507,prefix='mondo' identifier='0001049' name='Dressler syndrome',,,"prefix='doid' identifier='10507' name=""Dressler's syndrome"""
Dermatitis herpetiformis,mondo:0015614,,,doid:8505,prefix='mondo' identifier='0015614' name='dermatitis herpetiformis',,,prefix='doid' identifier='8505' name='dermatitis herpetiformis'
Dermatomyositis,mondo:0016367,,,doid:10223,prefix='mondo' identifier='0016367' name='dermatomyositis',,,prefix='doid' identifier='10223' name='dermatomyositis'
Neuromyelitis optica,mondo:0019100,,,doid:8869,prefix='mondo' identifier='0019100' name='neuromyelitis optica',,,prefix='doid' identifier='8869' name='neuromyelitis optica'
Diabetes mellitus type 1,,,,,,,,
Systemic sclerosis,mondo:0005100,,,doid:418,prefix='mondo' identifier='0005100' name='systemic sclerosis',,,prefix='doid' identifier='418' name='systemic scleroderma'
Primary idiopathic dilated cardiomyopathy,,,,,,,,
Multiple sclerosis,mondo:0005301,,,doid:2377,prefix='mondo' identifier='0005301' name='multiple sclerosis',,,prefix='doid' identifier='2377' name='multiple sclerosis'
Eaton-Lambert syndrome,mondo:0018556,,,doid:0050214,prefix='mondo' identifier='0018556' name='Lambert-Eaton myasthenic syndrome',,,prefix='doid' identifier='0050214' name='Lambert-Eaton myasthenic syndrome'
Erythema nodosum,mondo:0850231,,,doid:0080750,prefix='mondo' identifier='0850231' name='erythema nodosum',,,prefix='doid' identifier='0080750' name='erythema nodosum'
Steroid-responsive encephalopathy associated with autoimmune thyroiditis,mondo:0019385,,,,prefix='mondo' identifier='0019385' name='steroid-responsive encephalopathy associated with autoimmune thyroiditis',,,
Enthesitis,mondo:0024419,,,,prefix='mondo' identifier='0024419' name='enthesitis',,,
Immunoglobulin G4 related disease,,,,,,,,
Eosinophilic esophagitis,mondo:0005361,,,doid:13922,prefix='mondo' identifier='0005361' name='eosinophilic esophagitis',,,prefix='doid' identifier='13922' name='eosinophilic esophagitis'
Fasciitis with eosinophilia syndrome,,,,,,,,
Epilepsy,mondo:0005027,,,doid:1826,prefix='mondo' identifier='0005027' name='epilepsy',,,prefix='doid' identifier='1826' name='epilepsy'
Episcleritis,,,,,,,,
Evans syndrome,mondo:0016030,,,,prefix='mondo' identifier='0016030' name='Evans syndrome',,,
Sympathetic uveitis,mondo:0019198,,,doid:12029,prefix='mondo' identifier='0019198' name='sympathetic ophthalmia',,,prefix='doid' identifier='12029' name='sympathetic ophthalmia'
Felty syndrome,mondo:0007603,,,doid:11042,prefix='mondo' identifier='0007603' name='Felty syndrome',,,"prefix='doid' identifier='11042' name=""Felty's syndrome"""
Female infertility due to antisperm antibodies,,,,,,,,
