term,term_curie,uberon_curie,cl_curie,doid_curie,mondo_reference,uberon_reference,cl_reference,doid_reference
Juvenile dermatomyositis,mondo:0008054,,,doid:14203,prefix='mondo' identifier='0008054' name='juvenile dermatomyositis',,,prefix='doid' identifier='14203' name='childhood type dermatomyositis'
Juvenile diabetes,mondo:0005147,,,,prefix='mondo' identifier='0005147' name='type 1 diabetes mellitus',,,
Juvenile idiopathic arthritis,mondo:0011429,,,doid:676,prefix='mondo' identifier='0011429' name='juvenile idiopathic arthritis',,,prefix='doid' identifier='676' name='systemic juvenile rheumatoid arthritis'
Juvenile myositis,mondo:0008054,,,,prefix='mondo' identifier='0008054' name='juvenile dermatomyositis',,,
Juxta-Articular adiposis dolorosa,,,,,,,,
Kawasaki syndrome,mondo:0012727,,,,prefix='mondo' identifier='0012727' name='Kawasaki disease',,,
Kawasaki's disease,mondo:0012727,,,doid:13378,prefix='mondo' identifier='0012727' name='Kawasaki disease',,,prefix='doid' identifier='13378' name='Kawasaki disease'
Keratoconjunctivitis sicca,mondo:0006733,,,doid:12895,prefix='mondo' identifier='0006733' name='dry eye syndrome',,,prefix='doid' identifier='12895' name='keratoconjunctivitis sicca'
Kinsbourne syndrome,mondo:0015247,,,,prefix='mondo' identifier='0015247' name='opsoclonus-myoclonus syndrome',,,
Küttner's tumor,mondo:0018674,,,,prefix='mondo' identifier='0018674' name='IgG4-related submandibular gland disease',,,
Lambert-Eaton myasthenic syndrome,mondo:0018556,,,doid:0050214,prefix='mondo' identifier='0018556' name='Lambert-Eaton myasthenic syndrome',,,prefix='doid' identifier='0050214' name='Lambert-Eaton myasthenic syndrome'
Lambert-Eaton syndrome,mondo:0018556,,,doid:0050214,prefix='mondo' identifier='0018556' name='Lambert-Eaton myasthenic syndrome',,,prefix='doid' identifier='0050214' name='Lambert-Eaton myasthenic syndrome'
lcSSc,mondo:0019563,,,,prefix='mondo' identifier='0019563' name='CREST syndrome',,,
LCV,,,,,,,,
LEMS,mondo:0018556,,,doid:0050214,prefix='mondo' identifier='0018556' name='Lambert-Eaton myasthenic syndrome',,,prefix='doid' identifier='0050214' name='Lambert-Eaton myasthenic syndrome'
Leucocytoclastic vasculitis,,,,,,,,
Leukoderma,,,,,,,,
Leukoencephalitis periaxialis concentric,,,,,,,,
Lichen sclerosus et atrophicus,mondo:0007899,,,,prefix='mondo' identifier='0007899' name='lichen sclerosus et atrophicus',,,
Limbic encephalitis with N-methyl-D-aspartate receptor antibodies,mondo:0021081,,,,prefix='mondo' identifier='0021081' name='anti-NMDA receptor encephalitis',,,
Limited cutaneous systemic sclerosis,mondo:0016358,,,doid:1577,prefix='mondo' identifier='0016358' name='limited cutaneous systemic sclerosis',,,prefix='doid' identifier='1577' name='limited scleroderma'
Linear IgA bullous disease,,,,,,,,
Linear IgA disease,,,,,,,,
Lipomatosis dolorosa morbus dercum's,,,,,,,,
Localized scleroderma,mondo:0019562,,,doid:8472,prefix='mondo' identifier='0019562' name='localized scleroderma',,,prefix='doid' identifier='8472' name='localized scleroderma'
Lofgrens syndrome,mondo:0020666,,,,prefix='mondo' identifier='0020666' name='Löfgren syndrome',,,
Long COVID,,,,doid:0080848,,,,prefix='doid' identifier='0080848' name='long COVID'
Lupus,mondo:0007915,,,doid:8857,prefix='mondo' identifier='0007915' name='systemic lupus erythematosus',,,prefix='doid' identifier='8857' name='lupus erythematosus'
Lupus anticoagulant syndrome,,,,,,,,
Lupus erythematosus tumidus,mondo:0019560,,,,prefix='mondo' identifier='0019560' name='lupus erythematosus tumidus',,,
Lupus nephritis,mondo:0005556,,,doid:0080162,prefix='mondo' identifier='0005556' name='lupus nephritis',,,prefix='doid' identifier='0080162' name='lupus nephritis'
Lupus pernio,,,,,,,,
Lyme Arthritis,,,,,,,,
Lyme Borreliosis,mondo:0019632,,,doid:11729,prefix='mondo' identifier='0019632' name='Lyme disease',,,prefix='doid' identifier='11729' name='Lyme disease'
Lyme disease,mondo:0019632,,,doid:11729,prefix='mondo' identifier='0019632' name='Lyme disease',,,prefix='doid' identifier='11729' name='Lyme disease'
Lymph node syndrome,,,,,,,,
Lymphoplasmocytic sclerosing pancreatitis,mondo:0015175,,,,prefix='mondo' identifier='0015175' name='autoimmune pancreatitis',,,
Macrocytic Anemia,mondo:0002281,,,doid:2361,prefix='mondo' identifier='0002281' name='macrocytic anemia',,,prefix='doid' identifier='2361' name='macrocytic anemia'
MCTD,mondo:0005854,,,,prefix='mondo' identifier='0005854' name='mixed connective tissue disease',,,
Mediastinal fibrosis,mondo:0018978,,,,prefix='mondo' identifier='0018978' name='IgG4-related mediastinitis',,,
Megaloblastic Anemia,mondo:0001700,,,doid:13382,prefix='mondo' identifier='0001700' name='megaloblastic anemia',,,prefix='doid' identifier='13382' name='megaloblastic anemia'
Ménière's disease,mondo:0007972,,,doid:9849,prefix='mondo' identifier='0007972' name='Meniere disease',,,"prefix='doid' identifier='9849' name=""Meniere's disease"""
Meyenburg-Altherr-Uehlinger syndrome,,,,,,,,
MFS,mondo:0007947,uberon:0014618,,,prefix='mondo' identifier='0007947' name='Marfan syndrome',prefix='uberon' identifier='0014618' name='middle frontal sulcus',,
MG,mondo:0009688,,,,prefix='mondo' identifier='0009688' name='myasthenia gravis',,,
Microscopic polyarteritis,mondo:0019124,,,,prefix='mondo' identifier='0019124' name='microscopic polyangiitis',,,
Mikulicz's syndrome,,,,,,,,
Miller Fisher syndrome,mondo:0005851,,,doid:12889,prefix='mondo' identifier='0005851' name='Miller Fisher syndrome',,,prefix='doid' identifier='12889' name='Miller Fisher syndrome'
Miller-Fisher syndrome,mondo:0005851,,,doid:12889,prefix='mondo' identifier='0005851' name='Miller Fisher syndrome',,,prefix='doid' identifier='12889' name='Miller Fisher syndrome'
Mixed connective tissue disease,mondo:0005854,,,doid:3492,prefix='mondo' identifier='0005854' name='mixed connective tissue disease',,,prefix='doid' identifier='3492' name='mixed connective tissue disease'
Moersch-Woltman syndrome,mondo:0008491,,,,prefix='mondo' identifier='0008491' name='stiff-person syndrome',,,
MOG,,,,,,,,
MOG antibody disease,,,,,,,,
Morbus Adamandiades-Behçet,,,,,,,,
Moya-moya disease,mondo:0016820,,,doid:13099,prefix='mondo' identifier='0016820' name='Moyamoya disease',,,prefix='doid' identifier='13099' name='Moyamoya disease'
MPA,mondo:0019124,,,,prefix='mondo' identifier='0019124' name='microscopic polyangiitis',,,
MS,mondo:0006861,uberon:0002912,,,prefix='mondo' identifier='0006861' name='myeloid sarcoma',prefix='uberon' identifier='0002912' name='marginal sulcus',,
Mucha-Habermann disease,mondo:0024250,,,,prefix='mondo' identifier='0024250' name='acute lichenoid pityriasis',,,
Mucocutaneous lymph node syndrome,mondo:0012727,,,doid:13378,prefix='mondo' identifier='0012727' name='Kawasaki disease',,,prefix='doid' identifier='13378' name='Kawasaki disease'
Mucous membrane pemphigoid,mondo:0018746,,,,prefix='mondo' identifier='0018746' name='mucous membrane pemphigoid',,,
Multifocal fibrosclerosis,mondo:0009230,,,,"prefix='mondo' identifier='0009230' name='fibrosclerosis, multifocal'",,,
Multiple autoimmune syndrome,,,,,,,,
Multiple endocrine deficiency syndrome  type 2,,,,,,,,
Myalgic encephalomyelitis,mondo:0005404,,,doid:8544,prefix='mondo' identifier='0005404' name='myalgic encephalomeyelitis/chronic fatigue syndrome',,,prefix='doid' identifier='8544' name='chronic fatigue syndrome'
Myelin oligodendrocyte glycoprotein disease,,,,,,,,
Narcolepsy type 1,mondo:0016158,,,,prefix='mondo' identifier='0016158' name='narcolepsy-cataplexy syndrome',,,
Neuromyelitis optica spectrum Disorder,mondo:0019100,,,,prefix='mondo' identifier='0019100' name='neuromyelitis optica',,,
NMO,mondo:0019100,,,,prefix='mondo' identifier='0019100' name='neuromyelitis optica',,,
NMOSD,,,,,,,,
NMT,,,,,,,,
Nonalcoholic destructive pancreatitis,,,,,,,,
Non-specific inflammation of the cavernous sinus,,,,,,,,
Non-specific inflammation of the superior orbital fissure,,,,,,,,
Nontropical sprue,,,,,,,,
Nonvasculitic autoimmune inflammatory meningoencephalitis,,,,,,,,
Nonvasculitic autoimmune meningoecephalitis,,,,,,,,
Ocular cicatricial pemphigoid,mondo:0008109,,,,prefix='mondo' identifier='0008109' name='ocular cicatricial pemphigoid',,,
Ocular pemphigoid,mondo:0008109,,,doid:11656,prefix='mondo' identifier='0008109' name='ocular cicatricial pemphigoid',,,prefix='doid' identifier='11656' name='cicatricial pemphigoid'
OMA syndrome,mondo:0015247,,,,prefix='mondo' identifier='0015247' name='opsoclonus-myoclonus syndrome',,,
OMS,mondo:0008162,,,,"prefix='mondo' identifier='0008162' name='otitis media, susceptibility to'",,,
Opsoclonus myoclonus syndrome,mondo:0015247,,,,prefix='mondo' identifier='0015247' name='opsoclonus-myoclonus syndrome',,,
Opsoclonus-myoclonus-ataxia syndrome,mondo:0015247,,,,prefix='mondo' identifier='0015247' name='opsoclonus-myoclonus syndrome',,,
Optic neuromyelitis,,,,,,,,
Opticomyelitis,,,,,,,,
Opticospinal MS,,,,,,,,
Ord's thyroiditis,,,,,,,,
Ormond's disease,mondo:0018848,,,,prefix='mondo' identifier='0018848' name='IgG4-related retroperitoneal fibrosis',,,
Osteosclerotic myeloma,mondo:0004815,,,doid:9541,prefix='mondo' identifier='0004815' name='osteosclerotic plasma cell myeloma',,,prefix='doid' identifier='9541' name='osteosclerotic myeloma'
Painful bladder syndrome,mondo:0018301,,,,prefix='mondo' identifier='0018301' name='interstitial cystitis',,,
Painful Ophthalmoplegia,mondo:0018983,,,,prefix='mondo' identifier='0018983' name='Tolosa-Hunt syndrome',,,
Palindromic rheumatism syndrome,,,,,,,,
PAN,mondo:0014306,,,,prefix='mondo' identifier='0014306' name='deficiency of adenosine deaminase 2',,,
PANDAS,mondo:0019020,,,,prefix='mondo' identifier='0019020' name='PANDAS',,,
PANS,mondo:1060178,,,,prefix='mondo' identifier='1060178' name='pediatric acute-onset neuropsychiatric syndrome',,,
Pansclerotic morphea with deep fascial involvement,,,,,,,,
Paraneoplastic cerebellar ataxia,,,,,,,,
Paraneoplastic neurological syndrome,,,,,,,,
Paraneoplastic opsoclonus-myoclonus,mondo:0015247,,,,prefix='mondo' identifier='0015247' name='opsoclonus-myoclonus syndrome',,,
Paraneoplastic opsoclonus-myoclonus-ataxia syndrome,mondo:0015247,,,,prefix='mondo' identifier='0015247' name='opsoclonus-myoclonus syndrome',,,
Paraneoplastic syndrome,mondo:0021073,,,,prefix='mondo' identifier='0021073' name='paraneoplastic syndrome',,,
Parry disease,mondo:0005364,,,,prefix='mondo' identifier='0005364' name='Graves disease',,,
Parry Romberg syndrome,,,,,,,,
Pars planitis,mondo:0011644,,,doid:12731,prefix='mondo' identifier='0011644' name='pars planitis',,,prefix='doid' identifier='12731' name='pars planitis'
Parsonage-Turner Syndrome,mondo:0006682,,,,prefix='mondo' identifier='0006682' name='brachial plexus neuritis',,,
PAS 3,,,,,,,,
PAS III,,,,,,,,
PBC,mondo:0005388,,,,prefix='mondo' identifier='0005388' name='primary biliary cholangitis',,,
PBS,mondo:0002490,,,,prefix='mondo' identifier='0002490' name='breast sarcoma',,,
PCA,mondo:0012155,uberon:0001628,,doid:0050639,prefix='mondo' identifier='0012155' name='choanal atresia',prefix='uberon' identifier='0001628' name='posterior communicating artery',,prefix='doid' identifier='0050639' name='primary cutaneous amyloidosis'
PCD,mondo:0008932,,,,prefix='mondo' identifier='0008932' name='premature centromere division',,,
Pediatric Acute-onset Neuropsychiatric Syndrome,mondo:1060178,,,,prefix='mondo' identifier='1060178' name='pediatric acute-onset neuropsychiatric syndrome',,,
Pediatric rheumatic disease,,,,,,,,
Pemphigoid gestationis,mondo:0006558,,,doid:14482,prefix='mondo' identifier='0006558' name='pemphigoid gestationis',,,prefix='doid' identifier='14482' name='pemphigoid gestationis'
Pemphigus erythematosus,mondo:0019323,,,,prefix='mondo' identifier='0019323' name='pemphigus erythematosus',,,
Pemphigus foliaceus,mondo:0019324,,,doid:0080850,prefix='mondo' identifier='0019324' name='pemphigus foliaceus',,,prefix='doid' identifier='0080850' name='pemphigus foliaceus'
Pemphigus paraneoplastica,,,,,,,,
Pemphigus vulgaris,mondo:0008219,,,doid:0060851,prefix='mondo' identifier='0008219' name='pemphigus vulgaris',,,prefix='doid' identifier='0060851' name='pemphigus vulgaris'
PEP syndrome,mondo:0017364,,,,prefix='mondo' identifier='0017364' name='POEMS syndrome',,,
Periaortitis,,,,,,,,
Periarteritis,mondo:0019170,,,,prefix='mondo' identifier='0019170' name='polyarteritis nodosa',,,
Periarteritis nodosa,mondo:0019170,,,,prefix='mondo' identifier='0019170' name='polyarteritis nodosa',,,
Peripheral Ulcerative Keratitis,,,,,,,,
Peripheral Uveitis,,,,,,,,
Peripheral uveoretinitis,mondo:0006806,,,doid:12732,prefix='mondo' identifier='0006806' name='intermediate uveitis',,,prefix='doid' identifier='12732' name='intermediate uveitis'
Pernicious anemia,mondo:0008228,,,doid:13381,prefix='mondo' identifier='0008228' name='pernicious anemia',,,prefix='doid' identifier='13381' name='pernicious anemia'
PG,,,,,,,,
PGA 2,mondo:0010012,,,,prefix='mondo' identifier='0010012' name='autoimmune polyendocrinopathy type 2',,,
PGA-II,,,,,,,,
Physical urticaria,mondo:0006599,,,doid:0060220,prefix='mondo' identifier='0006599' name='physical urticaria',,,prefix='doid' identifier='0060220' name='physical urticaria'
Pityriasis lichenoides et varioliformis acuta,mondo:0024249,,,,prefix='mondo' identifier='0024249' name='pityriasis lichenoides',,,
PLEVA,mondo:0024250,,,,prefix='mondo' identifier='0024250' name='acute lichenoid pityriasis',,,
PNS,mondo:0018215,uberon:0000010,,,prefix='mondo' identifier='0018215' name='paraneoplastic neurologic syndrome',prefix='uberon' identifier='0000010' name='peripheral nervous system',,
Polyarteritis,mondo:0019170,,,,prefix='mondo' identifier='0019170' name='polyarteritis nodosa',,,
Polychondropathia,,,,,,,,
Polyglandular deficiency syndrome type 2,mondo:0010012,,,,prefix='mondo' identifier='0010012' name='autoimmune polyendocrinopathy type 2',,,
Polyglandular deficiency syndrome type 3,,,,,,,,
Polyneuropathy associated with monoclonal immunoglobulin M antibodies to myelin-associated glycoprotein,,,,,,,,
Polyneuropathy-organomegaly-endocrinopathy-M protein-skin lesions,,,,,,,,
POMA syndrome,mondo:0015247,,,,prefix='mondo' identifier='0015247' name='opsoclonus-myoclonus syndrome',,,
Post-acute COVID-19,,,,,,,,
Post-Acute Sequelae of COVID-19,mondo:0100233,,,,prefix='mondo' identifier='0100233' name='long COVID-19',,,
Post-cardiac injury syndrome,,,,,,,,
Post-myocardial infarction syndrome,mondo:0001049,,,doid:10507,prefix='mondo' identifier='0001049' name='Dressler syndrome',,,"prefix='doid' identifier='10507' name=""Dressler's syndrome"""
Postpericardiotomy pericarditis,,,,,,,,
Post-pericardiotomy syndrome,,,,,,,,
PRCA,mondo:0001705,,,,prefix='mondo' identifier='0001705' name='pure red-cell aplasia',,,
Premature ovarian failure due to autoimmune oophoritis,,,,,,,,
Primary acquired PRCA,,,,,,,,
Primary acquired pure red cell aplasia ,,,,,,,,
Primary adrenal insufficiency,mondo:0015128,,,,prefix='mondo' identifier='0015128' name='primary adrenal insufficiency',,,
Primary autoimmune neutropenia,,,,,,,,
Primary biliary cirrhosis,mondo:0005388,,,doid:12236,prefix='mondo' identifier='0005388' name='primary biliary cholangitis',,,prefix='doid' identifier='12236' name='primary biliary cholangitis'
Primary immune thrombocytopenia,,,,,,,,
Primary progressive multiple sclerosis,mondo:0000451,,,doid:0050784,prefix='mondo' identifier='0000451' name='primary progressive multiple sclerosis',,,prefix='doid' identifier='0050784' name='primary progressive multiple sclerosis'
Progressive facial hemiatrophy,mondo:0007710,,,,prefix='mondo' identifier='0007710' name='facial hemiatrophy',,,
Progressive inflammatory neuropathy,,,,,,,,
Progressive intracranial arterial occlusion,mondo:0016820,,,doid:13099,prefix='mondo' identifier='0016820' name='Moyamoya disease',,,prefix='doid' identifier='13099' name='Moyamoya disease'
Progressive intracranial occlusive arteriopathy,,,,,,,,
PsA,mondo:0008401,,,,prefix='mondo' identifier='0008401' name='pleomorphic adenoma',,,
PSC,mondo:0002808,,,,prefix='mondo' identifier='0002808' name='pancreatic serous cystadenoma',,,
Psoriasis with arthropathy,,,,,,,,
Purpura rheumatica,mondo:0019167,,,,prefix='mondo' identifier='0019167' name='immunoglobulin A vasculitis',,,
Quantal squander syndrome,mondo:0019399,,,,prefix='mondo' identifier='0019399' name='Isaac syndrome',,,
Raynaud disease,mondo:0008364,,,doid:10300,prefix='mondo' identifier='0008364' name='Raynaud disease',,,prefix='doid' identifier='10300' name='Raynaud disease'
Raynaud's disease,mondo:0008364,,,doid:10300,prefix='mondo' identifier='0008364' name='Raynaud disease',,,prefix='doid' identifier='10300' name='Raynaud disease'
ReA,,,,,,,,
Reactive arthritis triad,,,,,,,,
Recurrent polychondritis,mondo:0019125,,,,prefix='mondo' identifier='0019125' name='relapsing polychondritis',,,
RED-M,mondo:0019390,,,,prefix='mondo' identifier='0019390' name='Susac syndrome',,,
Reflex sympathetic dystrophy,mondo:0011441,,,doid:1811,prefix='mondo' identifier='0011441' name='complex regional pain syndrome type 1',,,prefix='doid' identifier='1811' name='reflex sympathetic dystrophy'
Reiter's syndrome,mondo:0017376,,,,prefix='mondo' identifier='0017376' name='reactive arthritis',,,
Relapsing perichondritis,,,,,,,,
Relapsing polyneuropathy,,,,,,,,
Relapsing-remitting multiple sclerosis,mondo:0005314,,,doid:2378,prefix='mondo' identifier='0005314' name='relapsing-remitting multiple sclerosis',,,prefix='doid' identifier='2378' name='relapsing-remitting multiple sclerosis'
Restless leg syndrome,mondo:0005391,,,,prefix='mondo' identifier='0005391' name='restless legs syndrome',,,
Retinopathy-encephalopathy-deafness associated microangiopathy,,,,,,,,
Retroperitoneal fibrosis,mondo:0018848,,,,prefix='mondo' identifier='0018848' name='IgG4-related retroperitoneal fibrosis',,,
Rheumatic arthritis,,,,,,,,
Riedel's thyroiditis,,,,,,,,
Romberg's syndrome,,,,,,,,
RV,,,,,,,,
Scarring pemphigoid,,,,,,,,
Schilders disease,,,,,,,,
Schmidt syndrome,mondo:0010012,,,doid:0050168,prefix='mondo' identifier='0010012' name='autoimmune polyendocrinopathy type 2',,,prefix='doid' identifier='0050168' name='autoimmune polyendocrine syndrome type 2'
Schnitzler's syndrome,,,,,,,,
Scleroderma,mondo:0019340,,,doid:419,prefix='mondo' identifier='0019340' name='scleroderma',,,prefix='doid' identifier='419' name='scleroderma'
Secondary acute transverse myelitis,,,,,,,,
Secondary autoimmune thrombocytopenia,,,,,,,,
Secondary Raynaud's,,,,,,,,
Secondary Raynaud's phenomenon,mondo:0008364,,,,prefix='mondo' identifier='0008364' name='Raynaud disease',,,
Sharp Syndrome,mondo:0005854,,,,prefix='mondo' identifier='0005854' name='mixed connective tissue disease',,,
Shimpo syndrome,,,,,,,,
Shulman syndrome,mondo:0009175,,,,prefix='mondo' identifier='0009175' name='eosinophilic fasciitis',,,
Shulman's syndrome,,,,,,,,
sIBM,mondo:0007827,,,,prefix='mondo' identifier='0007827' name='inclusion body myositis',,,
Sicca syndrome,mondo:0010030,,,doid:12894,prefix='mondo' identifier='0010030' name='Sjogren syndrome',,,"prefix='doid' identifier='12894' name=""Sjogren's syndrome"""
SICRET,,,,,,,,
Sjogren's disease,,,,,,,,
Sjögrens disease,,,,,,,,
Sjögren's syndrome,mondo:0010030,,,doid:12894,prefix='mondo' identifier='0010030' name='Sjogren syndrome',,,"prefix='doid' identifier='12894' name=""Sjogren's syndrome"""
SJS,mondo:0009717,,,,prefix='mondo' identifier='0009717' name='Schwartz-Jampel syndrome',,,
SLE,mondo:0007915,,,,prefix='mondo' identifier='0007915' name='systemic lupus erythematosus',,,
"Small infarctions of cochlear, retinal and encephalic tissue",mondo:0019390,,,,prefix='mondo' identifier='0019390' name='Susac syndrome',,,
Spared Eye Injury,,,,,,,,
Spondyloarthritis,mondo:0005095,,,,prefix='mondo' identifier='0005095' name='spondyloarthropathy',,,
Spontaneous occlusion of the Circle of Willis,mondo:0009649,,,,prefix='mondo' identifier='0009649' name='moyamoya disease 1',,,
Sporadic Inclusion Body Myositis,mondo:0007827,,,,prefix='mondo' identifier='0007827' name='inclusion body myositis',,,
St. Vitus Dance,,,,,,,,
Stenosing cholangitis,,,,,,,,
Stiff man syndrome,mondo:0008491,,,doid:13366,prefix='mondo' identifier='0008491' name='stiff-person syndrome',,,prefix='doid' identifier='13366' name='Stiff-Person syndrome'
Stiff person syndrome,mondo:0008491,,,,prefix='mondo' identifier='0008491' name='stiff-person syndrome',,,
Subacute cutaneous lupus erythematosus,mondo:0015573,,,,prefix='mondo' identifier='0015573' name='subacute cutaneous lupus erythematosus',,,
Subacute infective endocarditis,,,,,,,,
Subacute native valve endocarditis,,,,,,,,
Super rheumatoid disease,,,,,,,,
Suppurative hidradenitis,,,,,,,,
Susac syndrome,mondo:0019390,,,,prefix='mondo' identifier='0019390' name='Susac syndrome',,,
Susac's syndrome,,,,,,,,
Sydenham chorea,mondo:0017648,,,,prefix='mondo' identifier='0017648' name='Sydenham chorea',,,
Sympathetic ophthalmia,mondo:0019198,,,doid:12029,prefix='mondo' identifier='0019198' name='sympathetic ophthalmia',,,prefix='doid' identifier='12029' name='sympathetic ophthalmia'
Sympathizing Eye,,,,,,,,
Syndenham chorea,,,,,,,,
Systemic chondromalacia,,,,,,,,
Systemic chondromalocia,,,,,,,,
Systemic exertion intolerance disease,mondo:0005404,,,,prefix='mondo' identifier='0005404' name='myalgic encephalomeyelitis/chronic fatigue syndrome',,,
Systemic scleroderma,mondo:0005100,,,doid:418,prefix='mondo' identifier='0005100' name='systemic sclerosis',,,prefix='doid' identifier='418' name='systemic scleroderma'
Systemic sclerosis sine scleroderma,mondo:0016359,,,,prefix='mondo' identifier='0016359' name='limited systemic sclerosis',,,
"Systemic sclerosis, diffuse",mondo:0005019,,,doid:1580,prefix='mondo' identifier='0005019' name='diffuse scleroderma',,,prefix='doid' identifier='1580' name='diffuse scleroderma'
Takatsuki syndrome,mondo:0017364,,,,prefix='mondo' identifier='0017364' name='POEMS syndrome',,,
Takayasu's disease,mondo:0017991,,,doid:2508,prefix='mondo' identifier='0017991' name='Takayasu arteritis',,,"prefix='doid' identifier='2508' name=""Takayasu's arteritis"""
THS,mondo:0018983,,,,prefix='mondo' identifier='0018983' name='Tolosa-Hunt syndrome',,,
Thyroid eye disease,mondo:0001509,,,doid:0081120,prefix='mondo' identifier='0001509' name='endocrine exophthalmos',,,prefix='doid' identifier='0081120' name='Graves ophthalmopathy'
Thyroid-Associated orbitopathy,,,,,,,,
Thyrotoxicosis,mondo:0010138,,,doid:7997,prefix='mondo' identifier='0010138' name='thyrotoxicosis',,,prefix='doid' identifier='7997' name='thyrotoxicosis'
Thyrotoxicosis due to Graves' disease,,,,,,,,
Toxic diffuse goiter,mondo:0001104,,,doid:10719,prefix='mondo' identifier='0001104' name='toxic diffuse goiter',,,prefix='doid' identifier='10719' name='toxic diffuse goiter'
Tumefactive multiple sclerosis,mondo:0016430,,,doid:0060215,prefix='mondo' identifier='0016430' name='Balo concentric sclerosis',,,prefix='doid' identifier='0060215' name='Balo concentric sclerosis'
Tumefactive pancreatitis,,,,,,,,
Type 1 diabetes,mondo:0005147,,,,prefix='mondo' identifier='0005147' name='type 1 diabetes mellitus',,,
Type 1 diabetes mellitus,mondo:0005147,,,doid:9744,prefix='mondo' identifier='0005147' name='type 1 diabetes mellitus',,,prefix='doid' identifier='9744' name='type 1 diabetes mellitus'
UCTD,mondo:0019527,,,,prefix='mondo' identifier='0019527' name='undifferentiated connective tissue syndrome',,,
Undifferentiated connective tissue syndrome,mondo:0019527,,,,prefix='mondo' identifier='0019527' name='undifferentiated connective tissue syndrome',,,
Vitritis,mondo:0044138,,,,prefix='mondo' identifier='0044138' name='hyalitis',,,
Von Meyenburg disease,,,,,,,,
Wegener's Granulomatosis,mondo:0012105,,,,prefix='mondo' identifier='0012105' name='granulomatosis with polyangiitis',,,
Weston-Hurst syndrome,mondo:0011716,,,doid:10992,prefix='mondo' identifier='0011716' name='acute hemorrhagic leukoencephalitis',,,prefix='doid' identifier='10992' name='acute hemorrhagic leukoencephalitis'
Whitaker syndrome,mondo:0009411,,,doid:0050167,prefix='mondo' identifier='0009411' name='autoimmune polyendocrine syndrome type 1',,,prefix='doid' identifier='0050167' name='autoimmune polyendocrine syndrome type 1'
Willis-Ekbom Disease,mondo:0005391,,,doid:0050425,prefix='mondo' identifier='0005391' name='restless legs syndrome',,,prefix='doid' identifier='0050425' name='restless legs syndrome'
Factor VIII,,,,,,,,
high-affinity autoantibodies to MBP and MOG,,,,,,,,
Anti MOG,,,,,,,,
adrenal cortical antibodies—ACA,,,,,,,,
antibodies to cyclic citrullinated peptides,,,,,,,,
antibodies to tyrosine hydroxylases ,,,,,,,,
T cells with specificity for ANCA antigens are present,,,,,,,,
collagen IV,,,,,,,,
Beta-2 glycoprotein I,,,,,,,,
antibodies to aminoacyl tRNA synthetases,,,,,,,,
cytotoxic T cells,,,cl:0000910,,,,prefix='cl' identifier='0000910' name='cytotoxic T cell',
inner ear-specific IFN-γ producing T cells,,,,,,,,
antibodies to tryptophan hydroxylase,,,,,,,,
autoantibodies against aromatic L-amino acid decarboxylase (AADC) correlated to type 2 autoimmune hepatitis ,,,,,,,,
Tissue specific antibodies/tcells not found,,,,,,,,
Glycoprotein IIb/IIIa,,,,,,,,
Elevated IgG4,,,,,,,,
autoantibodies against TG and thyroid peroxidase,,,,,,,,
"autoantibodies to tropomyosin 48063, Antibodies to protein S 32422",,,,,,,,
IgG autoantibodies against BP180 antigen,,,,,,,,
anti-GQ1b IgG antibody,,,,,,,,
Desmogleins ,,,,,,,,
"The autoantibodies in BP sera are predominantly of IgG1 and IgG4, IgE autoantibodies to BP180",,,,,,,,
"IgA anti-endomysium antibodies, IgA antibodies to transglutaminse 2 ",,,,,,,,
DEP1/CD148 is the pathogenetically relevant autoantigen,,,,,,,,
Aquaporin-4 ,,,,,,,,
Thyrotropin receptor,,,,,,,,
Acetylcholine receptors,,,,,,,,
